"";"x"
"IL22";1
"IL8";1
"CXCL2";1
"CSF2";1
"RRAD";1
"PTGS2";1
"C15orf48";1
"CD83";1
"ALDOC";1
"LST1";1
"KLF4";1
"PRMT10";1
"OTUD5";1
"IL4I1";1
"LIF";1
"TNFSF4";1
"EREG";1
"HOXA5";1
"TIMP1";1
"CAT";1
"CTSH";1
"ZFP36L1";1
"TNFSF13B";1
"NCOA7";1
"BCAS1";1
"HSPA2";1
"DLL1";1
"BCL2A1";1
"VEGFA";1
"LDLRAD4";1
"TLE1";1
"TNFSF11";1
"ENPP1";1
"SPINK2";1
"CTNNB1";1
"LINC00176";1
"SDC4";1
"PCDH9";1
"KIT";1
"TLCD1";1
"PIM3";1
"GSN";1
"FURIN";1
"CASP3";1
"PLAUR";1
"TRAF4";1
"CDKN1A";1
"SCN1B";1
"NFKB1";1
"CD300LF";1
"RNF144B";1
"CA2";1
"SLC4A10";1
"INSR";1
"LTA4H";1
"SOX18";1
"HHEX";1
"NCR2";1
"FES";1
"LTC4S";1
"PRR5";1
"NINJ1";1
"IGFBP4";1
"TNFRSF25";1
"LINC00299";1
"PTGER3";1
"HOXA7";1
"PPAP2A";1
"IL23R";1
"AFF3";1
"RIPK2";1
"AHR";1
"S100A13";1
"IL1R1";1
"HOXA9";1
"KRT7";1
"SLC43A2";1
"MVB12B";1
"PPFIBP1";1
"JMY";1
"BEX5";1
"PLXDC2";1
"GNA15";1
"KIAA1324";1
"PRNP";1
"TGM2";1
"H2AFY";1
"TNS3";1
"KIAA1211L";1
"DST";1
"RNF152";1
"B4GALNT1";1
"SVIL";1
"PRAM1";1
"MPV17L";1
"VWA5A";1
"RORC";1
"PPP1R9A";1
"AGPAT5";1
"EPDR1";1
"SLC31A2";1
"REEP3";1
"CHKA";1
"HINT3";1
"TEX30";1
"MFGE8";1
"CMTM6";1
"HSP90B1";1
"DOCK5";1
"BICC1";1
"ARHGAP10";1
"COL4A4";1
"LDLRAD3";1
"IL18R1";1
"PVRL2";1
"NRIP1";1
"EPAS1";1
"IRAK3";1
"ZG16B";1
"KCTD9";1
"TEC";1
"RGS9";1
"RASSF8";1
"BLVRA";1
"SCARF1";1
"MBOAT7";1
"CITED4";1
"LAPTM4B";1
"AREGB";1
"SEPT11";1
"MATN2";1
"MMP25";1
"COL9A2";1
"TRIQK";1
"CCDC41";1
"RP11-563D10.1";1
"PAK1";1
"KLF11";1
"ANP32E";1
"HYI";1
"SCRN1";1
"NEO1";1
"IFT57";1
"AFAP1L1";1
"B3GALT5";1
"IL17A";2
"IL17F";2
"RGS1";2
"S100A4";2
"GPR183";2
"DUSP5";2
"LGALS3";2
"SERPINB9";2
"RP11-138A9.2";2
"SOCS3";2
"RP11-138A9.1";2
"AC016831.7";2
"TIFA";2
"SAMSN1";2
"B3GALT2";2
"AHNAK";2
"PERP";2
"PLK3";2
"S100A6";2
"BCL2";2
"CTC-505O3.3";2
"COL5A3";2
"NDNL2";2
"MIR29A";2
"SIAH2";2
"G3BP2";2
"MALT1";2
"C10orf128";2
"TMEM173";2
"P2RY10";2
"SH3BGRL3";2
"CDC42EP3";2
"CXCL13";3
"PVALB";3
"ZBED2";3
"RDH10";3
"GNG4";3
"CAV1";3
"NMB";3
"AC006129.4";3
"RP11-279F6.3";3
"IL21";3
"RP5-1028K7.2";3
"C11orf96";3
"LHFP";3
"FAIM2";3
